block,front_tx,back_tx,intervening_swaps,reason,inventory_mismatch_bps
17070009,0xe8fc976de9630747a2b88d75de0a57bd8d3fa988785f03ede2249aa450a44089,0x2063fa01bc99a13dd0c03e97f2c991021d949a2b16c7c985e28fc9e24c8cfda5,1,buy_not_maximum_output,0
17070013,0x45b71eb3b90248668a199e37e8271ad6bbcad5f31d4a4193b5cb5238cd39087b,0xb704702b4b981662e9c402779cb762dcd949f9869d9b0569fc6efc31f7e37f16,1,buy_not_maximum_output,0
17070027,0xc63b11fc1db7ca7c5f2430c167b7ca923bb0ff08ad2a43dc9ebdde54a553d42d,0x76e4d729ab0020c7d5b5117bfd62f7c1823325248c39fec77a44e653b0792975,3,different_outer_origin_or_target,68858.33403014289185876789900093713895916293266503806749606043369988358
17070027,0xf5c34fe0091be39808dfda9ca1274b0b39f3a4f388b2ebe98a6eced524244007,0x76e4d729ab0020c7d5b5117bfd62f7c1823325248c39fec77a44e653b0792975,1,different_outer_origin_or_target,1452.257034801695510798120137743094969321220444956582804184063789276831
17070033,0x131435c5c4a453299ec6c9776e416ba53a24a5fd21dfbe4ee5e68be1b84159e8,0x25e3f1b0cf73ce86f8bb484af8f1375cc25236717e804418d9f81de1041b71ac,2,inventory_mismatch,76371.04511191220735137440347388935460489088777589677344756519761728731
17070039,0xf19231200e48946ee7db792f362c259dfb64de90a0d155ccb3931255821b968d,0xa193d335d19f1ef2b21962c523a9dfded3f686f94c64d73a09595d236bb9fd4c,2,different_outer_origin_or_target,0
17070040,0x5c6c4f44cf6e7a22cbef231169e13b351bb10264d6540b2dbdd29c4c9de7a0a8,0x2663dcbdbdbee86098e75b936f8d95682423137681e881e3465fb46d859a16f0,1,accepted,0
17070044,0x397b839f04605653d1b207189e403300bb4ef989b14f78c2164d3a6ad4c6cd3f,0x2134927e92858d69079d754467666d2669269a2e571b7412816f972ed8d40cd3,2,different_outer_origin_or_target,27929.60722218140772000312114403614199079048913989415932460728281235443
17070045,0xa934bfec80be2f7e3fb8e624c9b6e7f0e54f715b2dbd0e160c98c23a93ab27cc,0xebc31167facbe86693cbcf39280d7a7e8a5cd60c73a0308cd5cc8694605b2869,1,outer_transaction_has_other_v2_v3_swaps,0
17070052,0xe9bbe904e7fd2d509da5332ea199b8f8bad0415c4b65070763fa7c94389ec818,0xcb3a6590bf38f11822c440cf716b9e404891b6a566f521ea7836188ada4869ff,2,different_outer_origin_or_target,54252.74227877776473076722921291758792086582401157690167052170188886998
17070063,0xd20591ba02496284bacb76e870f1b6178addc23e916c4547761d89779e5881f2,0x68ebf6e7e89f7a3837fc69a54ab36417a63c87324d9c55ce56494d2fd8bd8f83,4,outer_transaction_has_other_v2_v3_swaps,1.706283289949158561538633394263491500412961792996038164348850622470604E-25
17070079,0x78a25fa6c807736c70fc9f69e729c47ab4daa0c2a7fe1568aeff0fb890889c2d,0x84fa59a7b48a85f56fe3f987de38d3184ec61182cb30856ebac79b9ec23b20a3,3,outer_transaction_has_other_v2_v3_swaps,0
17070089,0x640cfc394e1d553057a69b5b026f739ec3bc0303c185df4a654ceaadab388bd1,0x7e48817ad61cfff96f18d2b73574b95f190694cd0431f7f7d25781a14df2f401,1,inventory_mismatch,4018.107908896516743529447557202351471322804823432865233865484384996781
17070097,0x895a7a94b94421dba1c246256e805ae8d062c6abbfa46dfcd41771927bd5f659,0xca6b7463acdf5ece13d1c84c05ae0eac3a9343afee6fab3d247267affa21764e,2,inventory_mismatch,4362.572530316662422542584396655277442456840613802304527110143860963786
17070103,0x5159701d4933ebdbf01eb36bcc3c679052324727de9b29be9481ad0f5b77d9cf,0x0ccfda5ca439f2a83f3edb3ea4ac9a38d9ffd7462894fadea1ed73da2bb30720,1,outer_transaction_has_other_v2_v3_swaps,0.0009999999994736441522038461482667822974240636961909461984913357360915277
17070107,0x8b1a3d6075567b12a3d78a868be1822ce68ae7170930d475d34f6418c6be82ca,0x6d5070df8777e64dd3a6ab33fd0034619ea13cbcc17694eeab9864e0863d2f18,3,accepted,0
17070108,0x3d1e26f2c1a2f0d2d5df00c226733b79ea1e2af537b49627b44ec60fc3f1cb9a,0xc65762afccb98fa52cd88037c9bb2b6c3d704f4283ad063e7b4ed6edd6400c3b,1,outer_transaction_has_other_v2_v3_swaps,0
17070118,0x2019633dce469851378879d3b5fa9b272c744a2caa6b4ad64af1fa4e34cd031a,0xe6789ac2976e69cc0eb6a421fb3d355d9d0c7f848d58dfd30c7f69679f9e7e52,3,outer_transaction_has_other_v2_v3_swaps,0
17070126,0x3e11574c7afff8ec085bfd1808c92fd1983f049ad542b2e1c02d95f12f83b185,0x89af4bfc1ed49224b3314001f6d53d3698be14bad610c37c3b1cd2fcdf184de0,1,buy_not_maximum_output,3.578492640226871690799945369609488122343601819401279116315047929068887E-12
17070143,0x1411a3be378d89da2a929ddf2bd259c59b4a07302965038e0ab29117916ec59d,0xf512cd02dbad6efdfb412957881226e7f20498f746d231e276465645af89159a,1,inventory_mismatch,8264.600037682543350743604237894765804797525606079674315819681459853748
17070153,0xa522dbb18741ac3fef16de0aa21fc33ccdb755b86bde7521639be0054ecf4ce0,0xf500898733f8cb6539a8d49d32b15104a235c2efe2c125f7ed648b893f2f1667,2,buy_not_maximum_output,0
17070165,0xff745968b4f4f19b8005c8e47ef74b44faaa8b3315d4d9fcf6d508b642bf400a,0x812cf08ef21724b763266335d2a6790aec818f326dd524830cde089fe6da4ce7,4,inventory_mismatch,4790.185932162841418743797004402649717380596001075285089125048820561546
17070169,0x858d81b9997037c915a4251490f53c5ea3042a836ca47180dfb0b33ad4b9edf1,0x1419f8a736bec0ab67b1923e50bfb3a76f95cba7bb3bbfa0fb637b587b878349,3,outer_transaction_has_other_v2_v3_swaps,0
17070170,0x9af606c7edae85dc90dfabdd565bc9861e22952180505bda0305d88e26522d0e,0x4a12d499a446cd177a419bea53160941cc33fe8a51310c9187da7b755b3a0b61,1,outer_transaction_has_other_v2_v3_swaps,3.490333309518789075920917836690069850984289581954668486301767391787145E-26
17070179,0xe1664ac622e1d0cf84377ec97435319eaa402846c6420671a781a0c42fc5063c,0x1b4eb6c55a32dd23c2d97349947364af81eadf45bc952875367f3e9f71d8bf74,3,outer_transaction_has_other_v2_v3_swaps,0
17070180,0x8ac360c3b029f4bf4371b709ce64dad020701fa7d20c8b68bb6cbf3adb5e238f,0xb6dfd806597fa5306b095d8073783a9ed92bbce03005833179dcc5fcd44c0de6,1,buy_not_maximum_output,0
17070201,0x7894c1781281090b53e6d2535de848482362b2d3579f8e5d3494e2605a94ca28,0xfb1184eed1c417fe62ae03e5ce5d5789a1d50baaa636a3db690895254ebd4357,2,buy_not_maximum_output,0
17070212,0x05d6b35e4dc8d0d1c70fd436f702c84fec9bca959dc183d36675e54fe0e39f0c,0x264752a6d8c867c732dde62754c85d22f17af50a719cb85a06f5b6f4799c3daf,1,accepted,0
17070218,0x82ccd9db6600ea17551b3ea1b4cc9fa06eb3b5ca1322b916bdfd18cbd22ab91b,0x6589d0351bb98092b8637dd0e666c272052e64f738d52399a1c066c9ac47f6f5,1,outer_transaction_has_other_v2_v3_swaps,0
17070219,0x6d872529147a66c99fd1a3aa040a33c85f04ddb18393e18cae152976e8d50c5f,0xb7b0ddb8962c4ba5d891839beeb5b60f2bedb8bd7e91d606c83d3f0f8618e8ca,2,buy_not_maximum_output,3.844147436270458711281064664697109671878139562270534289068108785151421E-25
17070219,0x40ef2da344e95073b12f7e04264d5afe930a7ebeb0fdec966eeb76793d065939,0xd347be26c900b8b74988fd40ac82eef327e308e8d924efb26dafa96d342bc2d6,2,different_outer_origin_or_target,44817.17674099791804326322430608555539606683178234375275911360053531682
17070223,0xd2579791590abd74e005f938703592d1e903208afab7bef31145a5398a307715,0x6c84299ca64cfe742fc51be44ef5b721d5773180fa2b174168d9e99b3fbec9a0,2,different_outer_origin_or_target,23463.61014892309358559642334235017817310376005005922636619272208507799
17070223,0xc3b1e0ef4963b084ff6e8316bb2278aa41ee2030b250326c7266df0b8243adaf,0x6c84299ca64cfe742fc51be44ef5b721d5773180fa2b174168d9e99b3fbec9a0,1,different_outer_origin_or_target,8755.604104570246312606819768143367862924882446679105237212238051749498
17070226,0x570c508615056e1eebcd4edf53639bdf534ecd040281afea9d470744cfb89d8b,0xcf5f88e234622a6e53276990d119b22ec325bc4ee04390fbfd0228fee62c56f4,1,outer_transaction_has_other_v2_v3_swaps,0
17070229,0x8e0585893825c6cbd8182717e042b7ea97b50fc6e8ef1781d3c06dab3e53948e,0xa864a78607987a92e700f02c6013707b84eeab9486ee8c6abdbeda8b76c8426b,1,buy_not_maximum_output,0
17070232,0x0d5dda1587029a45bf0ab0ccb6e6f91f372f4438ffb4f5d0204d109d4e9ca30a,0xb30c0320f376832302e0ed6366dbf614bca9d6006ba4cc72c92cb47050158eb0,1,different_outer_origin_or_target,227.9995865592276681955201347396176682266076665765058581363264177028126
17070234,0x2fac303a6e1ead5de456384491a36a2f8ac53a210da6dab524ee26a0774348bb,0xb9e7de90a1554f22ddfe6a45a076b51660f13a24f4be40f136147e561f24858d,4,outer_transaction_has_other_v2_v3_swaps,0
17070235,0xab39fb23ff685db12ea05b0f51a4a75dcefa2b2a8be2eacf48c06590b68c3328,0x6264f13f90a5efab5af31a4a4efcbe285204a5981114502ebe3290de26a906eb,2,different_outer_origin_or_target,5267.426450504949084872052718914426340712213530333127338801565584048665
17070235,0x845ca74492cdf449ade451177f2e9e30cf922bc72e016df337b3dd323d547326,0x6264f13f90a5efab5af31a4a4efcbe285204a5981114502ebe3290de26a906eb,1,different_outer_origin_or_target,5229.543616237195143949174191143143454203197712502953636619781671137722
17070236,0x4a2a1a8eab880ae77855fd6637d72737a960a58fe4712f33b44feed51f51b181,0x7742a7b89ec04d065ba50c3db29500409d295a45ab475d999c0f89370d57f382,1,different_outer_origin_or_target,502.8785014935965358369913137722741642916223130985907691067299778073291
17070282,0x49d66910f81ecd9c9ad729c8207f417ccc12a0301c95e8cb262a13ab880be162,0xf6fe2665d0ab4d949e2573642408e40a003523b222c4996589fdd40a908d4a53,1,buy_not_maximum_output,0.0009999999994736441522041179623726747321850686221413919740417956534579739
17070332,0xe569216319ae5084ac6028f9067f58b3bd3ea88604d1a8a4d370c43b408196ca,0xf16847cb85de493f078944602152757fb68850592ae9c87095fa0a43620f3cf4,1,outer_transaction_has_other_v2_v3_swaps,0
17070337,0x5e9ff6672c9adf3e7593dcc5cfa80ff30f67e2f4a3cf1d1d1a6e2f1c7f63bba1,0x514665c9cca9270f45c21b556259d1d47a6f508fc0abf0344d8cebdef26a66ff,1,inventory_mismatch,1895.657268385437470548289457389124785627443670554924505484828348816174
17070345,0x0936111aa9b6796cff1e9770387832240f624d0902a596ef1c5c5706188c9f03,0x23b87fe6682ece524bee5af6cdbe0d9656e0041e9305efafa40e603ca3016873,2,buy_not_maximum_output,1.288448081433881034177502016157928082367913060805949448072087334307777E-12
17070359,0xa9010069005e4c42cd76eb55dfefdd04ac2bfa2247d2ebd5f266016e943287f9,0x98f52d6a9300f8ca2cc53a280befad81cbf694191575f61b07b2b73bddf08cc1,3,buy_not_maximum_output,0
17070372,0x97e76e26dbfe04038fe0dc1c3b24df3d3b5e25791abafd628c6435a4f016210b,0x9c01d6de53c1a3d262a562a69dafd47b668c8a749006028c804c8272908da2ca,1,different_outer_origin_or_target,4101.603471687371806310785098850815873562391739421399617686820338661359
