episode_id,block,timestamp_utc,tx_index,tx_hash,origin,input_weth,actual_pepe,counterfactual_pepe,shortfall_pepe,shortfall_bps,counterfactual_reserve0_raw,counterfactual_reserve1_raw,input_raw,actual_output_raw,counterfactual_output_raw
17070040-7,17070040,2023-04-18T00:29:23+00:00,8,0x9491232feccf49b65a79e172826f15eb4d716c6887ab6f732f41f1b1d03e4dcd,0x322e9313fba28fa9b21b0532b92b49077f107070,3.610090956873247782,91125518089.315649730676525978,91958534765.7826439540174926,833016676.466994223340966622,90.58611890551304996241973068191965436644715401490992739507633895892625,6902493782368692295866849323534,266564618674550616812,3610090956873247782,91125518089315649730676525978,91958534765782643954017492600
17070107-28,17070107,2023-04-18T00:42:59+00:00,29,0x20b46dced8813178f0fdd64f446dcb0b786867b2f810caf18523bd488c1ca136,0x40a22570cb14721c59821cff6809c5be85775792,0.019825,545837019.367181381522201968,561877402.365562010297632724,16040382.998380628775430756,285.4783433334203582526435485528040423197411018083141474863981492308993,7241427688734869895863071728104,254716622546110471852,19825000000000000,545837019367181381522201968,561877402365562010297632724
17070107-28,17070107,2023-04-18T00:42:59+00:00,30,0x7d3bcaf75c26e2a6fa736f6523ad2854116f4e0841ef3ee5caadc82be8cc2fa4,0x4d664afba6a113db7ac4801ffb753b2b8786ee5e,0.6,16480246938.488195506736002173,16963956791.47651922318457463,483709852.988323716448572457,285.1397577429353279367842518874888739926216251385128262738979197308242,7240865811332504333852774095380,254736447546110471852,600000000000000000,16480246938488195506736002173,16963956791476519223184574630
17070107-28,17070107,2023-04-18T00:42:59+00:00,31,0xcce05d401e7e4a6998705a03571d90e54f3a5dc36ba517a6543772c627abdc7b,0x5b89d877a2447a933651c571d1ac1e2c83adafef,0.475,12992892618.58470438733769129,13373437391.991206047782248487,380544773.406501660444557197,284.5527011883975735969299449673707597957300137409204164705358480067469,7223901854541027814629589520750,255336447546110471852,475000000000000000,12992892618584704387337691290,13373437391991206047782248487
17070212-5,17070212,2023-04-18T01:03:59+00:00,6,0xc46765d22c1f7a308be407c98921cce41fb1fb58c36170eb2927e4826522d28b,0xa7ec989bd60b8d0b4cc4578c5b31347a64b7532f,1,25126909638.339913051051395628,27901274436.626145678533916857,2774364798.286232627482521229,994.3505643757654900690130408480403036640935304848281367787161826557621,7208488095111264267962138455524,256584876668389711122,1000000000000000000,25126909638339913051051395628,27901274436626145678533916857
17070526-12,17070526,2023-04-18T02:07:47+00:00,13,0xd9dfe7d43ca8e6604184088dd2fcdb9c803fccb8f3a720c9f312a313d46e5e19,0xecaf0458e3894d98e844df19825bf221ef63756a,1.7,61166830588.599553968734272482,63464440019.774901952533559118,2297609431.175347983799286636,362.0309941219736977975789783919564072212196411013166350232261005016170,8444803015610898965198319702374,223834492943498611557,1700000000000000000,61166830588599553968734272482,63464440019774901952533559118
17070530-12,17070530,2023-04-18T02:08:35+00:00,13,0xb206ed45a3eb69706389213ae5ef873984c04763df0d55e9cd0b4fd62c51c526,0x2efbd75345880cd3c8d417a3172ffa1b56a3f363,0.6,21736425734.98024906915684265,22051285543.831202797091194953,314859808.850953727934352303,142.7852395385787594422480914557716311895620124412324300819486859688892,8359566802079376850994451734321,226177370569980476158,600000000000000000,21736425734980249069156842650,22051285543831202797091194953
17070530-12,17070530,2023-04-18T02:08:35+00:00,14,0x68cabebfe99acffa2ab1ac13baad64e5a4e7330128f76b94cc5138c956cf40f0,0x88d71a3fdcca25b9bbf025c57fa1216c41124fed,0.7,25215505931.363972780086829784,25579712750.358403594565647749,364206818.994430814478817965,142.3811215352009079551401641982994025814460382698589301190953083263223,8337515516535545648197360539368,226777370569980476158,700000000000000000,25215505931363972780086829784,25579712750358403594565647749
17070590-13,17070590,2023-04-18T02:20:59+00:00,14,0xedf78ef26124aa7aa95a2461dc1f6c3e1b855f1aa64c73085b9680c610e9d852,0x9c84decd74ce00c9c869e5af1c121d762e1099ad,1.177,35512529495.340816226828405114,37149799881.323502719920539157,1637270385.982686493092134043,440.7211859049069322375469690093177030341664298919422264366513642589708,7762537386092958518768838933408,244025617213667008387,1177000000000000000,35512529495340816226828405114,37149799881323502719920539157
17070590-13,17070590,2023-04-18T02:20:59+00:00,15,0xd79792ad93bf44c947d3fa03a935075c606bafd133c87e65cd82e9058ee32ccb,0x1069dbb0855bc6e5aa6ae5594e1fa4cd504224af,0.495625,14854581826.584979533538689716,15537073460.685302872622037115,682491634.100323339083347399,439.2665297150627474843018514394523409046504788304170390004073990057741,7725387586211635016048918394251,245202617213667008387,495625000000000000,14854581826584979533538689716,15537073460685302872622037115
